"ID" "species" "Height" "InflLgth" "NoHeads" "FlowHead" "ExtLgth" "ExtWidth" "IntLgth" "IntWidth" "ExtWidth_1" "ExtWidth_2" "Filaments" "AntherLgth" "FilamLgth" "ALtoFLratio" "CapsuleLgth" "CapsEndLgth" "CapsuleWidth" "CLtoPL"
"83" 83 "Juncus oxycarpus" 69.6 8.4 14 30 2.55 0.23 2.6 0.79 0.44 0.26 3 0.47 0.9 0.52 2.35 0.2 0.99 0.9
"84" 84 "Juncus oxycarpus" 40 7.2 16 20 3 0.29 2.85 0.7 0.41 0.2 3 0.52 1.08 0.48 2.55 0.4 1.34 0.86
"85" 85 "Juncus oxycarpus" 51.5 16.5 26 21 2.9 0.26 3 0.9 0.47 0.29 3 0.58 1.05 0.55 2.5 0.35 1.05 0.83
"86" 86 "Juncus oxycarpus" 38.3 8.2 8 19 3.3 0.29 3.25 0.87 0.47 0.29 3 0.65 1.09 0.62 2.65 0.3 1.34 0.91
"87" 87 "Juncus oxycarpus" 76.4 11.8 9 21 3.75 0.23 3.7 0.73 0.52 0.17 3 0.67 1.31 0.66 2.65 0.35 1.11 0.76
"88" 88 "Juncus oxycarpus" 59.6 15.1 11 16 3.4 0.26 3.15 0.9 0.52 0.29 3 0.76 1.34 0.63 2.35 0.3 1.25 0.74
"89" 89 "Juncus oxycarpus" 46.6 7.4 8 17 3.35 0.2 3.3 0.87 0.5 0.23 3 0.73 1.2 0.61 2.95 0.25 1.34 0.89
"90" 90 "Juncus oxycarpus" 42.5 14.4 21 20 3.75 0.29 3.3 0.93 0.5 0.29 3 0.73 1.2 0.68 2.7 0.35 1.46 0.77
"91" 91 "Juncus oxycarpus" 39.6 4.5 8 18 2.95 0.41 2.75 0.85 0.52 0.26 6 0.79 1.11 0.71 2.9 0.35 1.6 1.02
"92" 92 "Juncus oxycarpus" 61.2 8.1 7 21 3.2 0.31 2.8 0.76 0.55 0.15 3 0.58 0.96 0.6 2.5 0.4 1.2 0.86
"93" 93 "Juncus oxycarpus" 15.9 3 3 17 2.75 0.29 3.1 0.93 0.54 0.15 3 0.9 0.99 0.91 2.4 0.25 1.41 0.77
"94" 94 "Juncus oxycarpus" 45.3 8.1 14 16 2.55 0.2 2.5 0.73 0.47 0.17 3 0.52 0.93 0.56 2.4 0.2 1.14 0.94
"95" 95 "Juncus oxycarpus" 42.5 11.5 17 13 3.5 0.31 2.8 0.87 0.47 0.17 3 0.61 1.37 0.45 3.05 0.3 1.43 0.87
"96" 96 "Juncus oxycarpus" 55.9 11.6 10 12 3.9 0.27 3.2 0.87 0.52 16 3 0.62 0.99 0.68 3 0.25 1.41 0.87
"97" 97 "Juncus oxycarpus" 41 5.9 4 23 3.15 0.22 2.8 0.68 0.46 0.16 3 0.6 1.11 0.54 3 0.45 1.5 0.95
"98" 98 "Juncus oxycarpus" 8.4 1.5 3 9 3.1 0.32 2.65 0.79 0.38 0.23 3 0.47 0.76 0.62 2 0.1 0.9 0.71
"99" 99 "Juncus oxycarpus" 53.6 6.5 8 21 3.1 0.29 3.2 0.73 0.58 0.17 3 0.73 1.05 0.7 2.4 0.3 1.41 0.75
"100" 100 "Juncus oxycarpus" 54.5 8.1 5 13 3.55 0.31 3.25 0.87 0.52 0.2 3 0.85 1.11 0.77 3.35 0.4 1.43 0.94
"101" 101 "Juncus oxycarpus" 41.6 10.3 10 17 3.5 0.35 3.25 0.82 0.47 0.49 3 0.64 1.4 0.46 2.95 0.25 1.25 0.84
"102" 102 "Juncus oxycarpus" 70.6 11.6 33 17 3.1 0.26 3.05 0.85 0.47 0.23 3 0.76 1.31 0.63 3.05 0.4 1.22 0.98
"103" 103 "Juncus oxycarpus" 75.3 8.5 12 19 3.25 0.31 3.15 0.9 0.52 0.23 3 0.55 0.93 0.59 2.3 0.3 1.17 0.71
"104" 104 "Juncus oxycarpus" 42.5 7.1 7 24 3.25 0.23 2.95 0.99 0.52 0.26 3 0.64 0.9 0.71 2.4 0.3 1.37 0.74
"105" 105 "Juncus oxycarpus" 22.8 3.9 4 14 3.75 0.27 4.05 1.17 0.71 0.3 6 0.74 1.39 0.56 4.05 0.75 1.41 0.95
"106" 106 "Juncus oxycarpus" 47.3 7.3 11 18 3.2 0.2 3 0.9 0.55 0.17 4 0.76 1.4 0.54 2.35 0.25 1.14 0.73
"107" 107 "Juncus oxycarpus" 34.7 4.6 5 16 2.9 0.31 3 0.9 0.5 0.26 3 0.44 1.17 0.49 2.6 0.3 1.41 0.86
"108" 108 "Juncus oxycarpus" 41.7 4.1 3 35 3.58 0.31 3.2 0.82 0.5 0.26 3 0.61 1.2 0.51 2.4 0.3 1.05 0.75
"109" 109 "Juncus oxycarpus" 35.1 11 8 21 3.95 0.35 3.75 1.22 0.61 0.44 4 0.67 0.9 0.74 3.35 0.35 1.75 0.85
"110" 110 "Juncus oxycarpus" 46.1 7.7 9 20 2.8 0.17 2.7 0.82 0.52 0.2 3 0.44 1.17 0.38 2.35 0.25 1.05 0.87
"111" 111 "Juncus oxycarpus" 52.1 8.4 14 10 2.55 0.17 2.25 0.73 0.44 0.15 3 0.38 1.31 0.29 2.4 0.35 1.2 0.94
"112" 112 "Juncus oxycarpus" 42.5 12 10 22 3.3 0.32 3.1 0.76 0.55 0.2 3 0.7 1.17 0.6 2.7 0.25 1.43 0.82
"113" 113 "Juncus oxycarpus" 57.9 9.5 7 14 2.95 0.31 2.7 0.73 0.47 0.49 3 0.52 1.08 0.48 2.45 0.3 1.4 0.83
"114" 114 "Juncus oxycarpus" 27.7 4.6 5 13 3.05 0.31 2.75 0.67 0.44 0.17 3 0.38 1.17 0.32 2.3 0.35 1.05 0.75
"115" 115 "Juncus fontanesii subsp. fontanesii" 21.3 3.3 13 9 3 0.26 3.05 0.58 0.55 0.23 6 1.08 0.32 3.38 2.85 0.55 1.31 1.21
"116" 116 "Juncus fontanesii subsp. fontanesii" 20.4 2.1 8 11 2.85 0.23 2.65 0.7 0.52 0.17 6 0.99 0.41 2.41 2.8 0.95 1.28 1.22
"117" 117 "Juncus fontanesii subsp. fontanesii" 18 2 3 18 2.75 0.12 3.15 0.64 0.44 0.15 6 0.82 0.73 1.12 3.95 1.87 1.29 1.25
"118" 118 "Juncus fontanesii subsp. fontanesii" 21.3 5.2 20 17 2.75 0.26 3 0.9 0.55 0.23 6 1.14 0.58 2.08 3.35 0.95 1.43 1.12
"119" 119 "Juncus fontanesii subsp. fontanesii" 21.3 3 7 19 2.65 0.25 2.65 0.83 0.47 0.22 6 1.14 0.47 2.68 3.1 0.9 1.2 1.26
"120" 120 "Juncus fontanesii subsp. fontanesii" 12.7 3 3 15 2.83 0.25 2.6 0.76 0.44 0.23 6 0.93 0.47 1.98 3.55 0.9 1.25 1.37
"121" 121 "Juncus fontanesii subsp. fontanesii" 30 2.8 5 9 2.9 0.26 3.35 0.83 0.52 0.22 6 1.02 0.5 2.04 3.25 0.9 1.28 1.1
"122" 122 "Juncus fontanesii subsp. fontanesii" 21.3 3 7 12 2.5 0.25 2.65 0.83 0.52 0.22 6 0.9 0.38 2.37 3.6 0.45 1.22 1.36
"123" 123 "Juncus fontanesii subsp. fontanesii" 20 1.8 2 6 2.55 0.25 2.65 0.85 0.47 0.23 6 0.9 0.44 2.05 3.15 0.85 1.17 1.19
"124" 124 "Juncus fontanesii subsp. fontanesii" 21.3 3 9 14 2.45 0.26 2.55 0.73 0.41 0.23 6 1.05 0.52 2.02 3 0.9 1.14 1.18
"125" 125 "Juncus fontanesii subsp. fontanesii" 25.6 1.9 5 7 2.85 0.26 3.1 0.76 0.5 0.2 6 1.17 0.5 2.61 3.4 0.8 1.22 1.1
"126" 126 "Juncus fontanesii subsp. fontanesii" 13.8 1.6 3 8 2.7 0.2 2.8 0.83 0.52 0.22 6 1.08 0.41 2.63 3.48 0.9 1.29 1.26
"127" 127 "Juncus fontanesii subsp. fontanesii" 17 2.2 9 6 2.35 0.2 2.3 0.73 0.44 0.17 6 0.99 0.47 2.11 3.15 0.6 1.34 1.34
"128" 128 "Juncus fontanesii subsp. fontanesii" 10.5 1.1 3 5 2.5 0.25 2.55 0.83 0.52 0.22 6 0.96 0.47 2.04 3.15 0.8 1.29 1.24
"129" 129 "Juncus fontanesii subsp. fontanesii" 19.9 2.9 7 17 2.15 0.26 2.4 0.76 0.41 0.2 6 0.76 0.55 1.38 2.6 0.75 1.31 1.08
"130" 130 "Juncus fontanesii subsp. fontanesii" 18.4 2.1 3 9 3 0.29 3 0.9 0.61 0.23 6 0.96 0.55 1.75 4.2 0.95 1.29 1.4
"131" 131 "Juncus fontanesii subsp. fontanesii" 13.7 1.5 2 9 2.8 0.35 2.9 0.87 0.61 0.15 6 0.96 0.5 1.92 4.25 0.9 1.43 1.47
"132" 132 "Juncus fontanesii subsp. fontanesii" 21.3 2.2 4 16 2.45 0.2 2.6 0.7 0.41 0.2 6 1.02 0.7 1.46 2.8 0.7 1.29 1.08
"133" 133 "Juncus fontanesii subsp. fontanesii" 16.8 3.6 8 20 2.55 0.2 2.45 0.67 0.41 0.15 6 0.76 0.47 1.62 2.95 0.9 1.17 1.16
"134" 134 "Juncus fontanesii subsp. fontanesii" 9 2.2 4 17 2.45 0.2 2.35 0.76 0.44 0.17 6 0.87 0.55 1.58 2.45 0.9 1.29 1
"135" 135 "Juncus fontanesii subsp. fontanesii" 29.2 5 4 7 3.55 0.23 3.7 0.87 0.55 0.29 6 1.25 0.67 1.87 4.55 0.9 1.37 1.23
"136" 136 "Juncus fontanesii subsp. fontanesii" 21.3 1.5 2 13 2.95 0.21 2.95 0.95 0.63 0.14 6 1.11 0.25 4.44 3.5 0.75 1.26 1.32
"137" 137 "Juncus fontanesii subsp. fontanesii" 21.3 1.3 2 8 3.1 0.32 3.3 1.03 0.63 0.28 6 1.04 0.51 2.04 3.85 0.75 1.29 1.17
"138" 138 "Juncus fontanesii subsp. fontanesii" 24.7 3.2 5 14 3.45 0.26 3.7 0.99 0.58 0.23 6 1.31 0.52 2.52 3.95 0.9 1.22 1.26
"139" 139 "Juncus fontanesii subsp. fontanesii" 21.3 5 5 12 2.9 0.2 3.1 0.9 0.5 0.29 6 1.05 0.67 1.57 4.7 0.9 1.2 1.52
"140" 140 "Juncus fontanesii subsp. fontanesii" 18.4 2.3 5 11 2.65 0.26 3.25 0.83 0.52 0.22 6 1.28 0.5 4.92 4.35 1.45 1.29 1.61
"141" 141 "Juncus fontanesii subsp. fontanesii" 17 1.8 4 6 2.4 0.2 2.75 0.83 0.52 0.2 6 0.87 0.29 3 4.15 0.9 1.29 1.51
"142" 142 "Juncus fontanesii subsp. fontanesii" 33.9 4.5 7 20 3.25 0.23 3.55 0.87 0.64 0.15 6 1.02 0.35 2.91 4.6 1.1 1.4 1.3
"143" 143 "Juncus fontanesii subsp. fontanesii" 21.7 3.5 4 13 2.9 0.29 3.3 0.85 0.47 0.26 6 1.14 0.47 2.43 4.15 0.9 1.34 1.26
"144" 144 "Juncus fontanesii subsp. fontanesii" 23.1 2.6 5 7 2.95 0.2 3.15 0.93 0.52 0.2 6 1.2 0.52 2.31 4.4 1.6 1.49 1.36
"145" 145 "Juncus fontanesii subsp. fontanesii" 21.3 3.3 5 13 3.55 0.29 3.5 0.83 0.52 0.22 6 1.34 0.67 2.63 3.55 0.9 1.29 1.26
"146" 146 "Juncus fontanesii subsp. fontanesii" 48.3 6.9 37 16 3.45 0.25 3.25 0.83 0.52 0.22 6 1.22 0.41 2.07 3.15 0.65 1.22 1.26
"147" 147 "Juncus fontanesii subsp. fontanesii" 22 3 7 11 2.9 0.25 2.9 0.87 0.58 0.22 6 1.14 0.61 2.78 3 0.79 1.4 1.26
"148" 148 "Juncus fontanesii subsp. fontanesii" 35.7 2.7 5 18 3.1 0.25 3.35 0.9 0.55 0.22 6 0.99 0.61 2.11 3.1 0.55 1.25 1.26
"149" 149 "Juncus fontanesii subsp. fontanesii" 21.3 3 6 14 2.85 0.32 2.95 0.83 0.52 0.26 6 0.93 0.47 2.07 2.75 0.93 1.29 1.26
"150" 150 "Juncus fontanesii subsp. fontanesii" 14.6 4.9 5 12 2.85 0.23 2.8 0.85 0.52 0.23 6 1.37 0.5 2.74 3.4 1.1 1.29 1.26
